year,northshore- All,northshore- State,northshore- Local,northshore- Other,waianae Counties- All,waianae Counties- State,waianae Counties- Local,waianae Counties- Other,centraloahu Suburbs- All,centraloahu Suburbs- State,centraloahu Suburbs- Local,centraloahu Suburbs- Other,ewa Suburbs- All,ewa Suburbs- State,ewa Suburbs- Local,ewa Suburbs- Other,puc- All,puc- State,puc- Local,puc- Other,easthonolulu- All,easthonolulu- State,easthonolulu- Local,easthonolulu- Other,koolauloa- All,koolauloa- State,koolauloa- Local,koolauloa- Other,koolaupoko- All,koolaupoko- State,koolaupoko- Local,koolaupoko- Other,Value
2000,0.979,1.014,1.135,0.672,0.191,0.165,0.247,0.208,0.131,0.131,0.179,0.022,0.181,0.159,0.235,0.182,0.244,0.265,0.209,0.2,0.144,0.189,0.147,0.06,0.088,0.105,0.118,0,0,0,0,0,Bridge
2001,0.976,0.99,1.165,0.643,0.203,0.178,0.261,0.209,0.129,0.125,0.182,0.022,0.191,0.165,0.256,0.183,0.232,0.246,0.222,0.169,0.137,0.171,0.146,0.06,0.084,0.105,0.098,0,0,0,0,0,Bridge
2002,1.052,1.092,1.211,0.657,0.222,0.202,0.272,0.216,0.129,0.13,0.175,0.022,0.213,0.192,0.273,0.19,0.249,0.265,0.241,0.169,0.143,0.18,0.152,0.06,0.096,0.123,0.098,0,0,0,0,0,Bridge
2003,1.035,1.072,1.159,0.728,0.228,0.21,0.272,0.225,0.117,0.123,0.15,0.032,0.218,0.199,0.274,0.196,0.255,0.273,0.236,0.185,0.125,0.156,0.129,0.068,0.092,0.111,0.098,0.022,0,0,0,0,Bridge
2004,1.087,1.144,1.192,0.743,0.23,0.214,0.271,0.232,0.123,0.13,0.157,0.031,0.223,0.204,0.274,0.208,0.272,0.293,0.253,0.185,0.132,0.168,0.139,0.065,0.107,0.135,0.098,0.022,0,0,0,0,Bridge
2005,1.095,1.118,1.263,0.761,0.236,0.213,0.291,0.238,0.121,0.123,0.159,0.032,0.232,0.208,0.296,0.215,0.282,0.303,0.267,0.185,0.129,0.162,0.132,0.069,0.095,0.109,0.118,0.022,0,0,0,0,Bridge
2006,1.057,1.081,1.179,0.75,0.237,0.216,0.289,0.233,0.114,0.116,0.147,0.032,0.234,0.213,0.294,0.209,0.278,0.298,0.261,0.185,0.107,0.128,0.11,0.069,0.087,0.11,0.078,0.022,0,0,0,0,Bridge
2007,1.082,1.103,1.209,0.764,0.244,0.222,0.304,0.216,0.108,0.112,0.138,0.032,0.242,0.221,0.304,0.213,0.289,0.301,0.288,0.212,0.096,0.112,0.097,0.069,0.103,0.135,0.078,0.022,0,0,0,0,Bridge
2008,1.091,1.143,1.246,0.766,0.253,0.226,0.332,0.222,0.101,0.116,0.12,0.016,0.252,0.223,0.337,0.224,0.304,0.311,0.302,0.262,0.093,0.15,0.077,0.042,0.088,0.117,0.078,0,0,0,0,0,Bridge
2009,1.104,1.1,1.412,0.698,0.269,0.227,0.386,0.225,0.096,0.115,0.112,0.005,0.269,0.218,0.412,0.223,0.294,0.286,0.34,0.231,0.084,0.131,0.084,0.014,0.092,0.123,0.078,0,0,0,0,0,Bridge
2010,1.112,1.076,1.46,0.656,0.266,0.223,0.39,0.204,0.1,0.113,0.122,0.01,0.267,0.215,0.42,0.199,0.291,0.279,0.352,0.215,0.084,0.103,0.096,0.028,0.104,0.143,0.08,0,0,0,0,0,Bridge
2011,1.138,1.062,1.56,0.732,0.262,0.212,0.394,0.235,0.1,0.11,0.127,0.016,0.269,0.21,0.43,0.218,0.309,0.282,0.414,0.222,0.098,0.112,0.115,0.041,0.1,0.136,0.08,0,0,0,0,0,Bridge
2012,1.058,0.947,1.559,0.679,0.242,0.184,0.396,0.201,0.104,0.11,0.137,0.016,0.249,0.18,0.433,0.194,0.278,0.233,0.417,0.226,0.089,0.11,0.096,0.042,0.096,0.13,0.08,0,0,0,0,0,Bridge
2013,1.044,0.872,1.645,0.718,0.231,0.163,0.4,0.205,0.107,0.116,0.134,0.017,0.238,0.158,0.44,0.203,0.277,0.204,0.482,0.242,0.091,0.101,0.109,0.03,0.1,0.13,0.08,0.021,0,0,0,0,Bridge
2014,0.996,0.839,1.602,0.626,0.225,0.157,0.397,0.193,0.101,0.111,0.125,0.015,0.23,0.151,0.435,0.187,0.265,0.191,0.485,0.19,0.091,0.111,0.1,0.041,0.084,0.118,0.06,0,0,0,0,0,Bridge
2015,0.957,0.794,1.543,0.6,0.219,0.153,0.386,0.185,0.089,0.108,0.103,0.017,0.226,0.151,0.42,0.174,0.254,0.183,0.468,0.159,0.078,0.083,0.106,0.022,0.091,0.116,0.06,0.043,0,0,0,0,Bridge
2016,0.955,0.804,1.541,0.616,0.216,0.154,0.373,0.179,0.096,0.112,0.117,0.02,0.222,0.152,0.403,0.171,0.241,0.173,0.445,0.161,0.086,0.11,0.105,0.022,0.094,0.103,0.098,0.063,0,0,0,0,Bridge
2017,0.897,0.792,1.401,0.514,0.201,0.145,0.341,0.166,0.093,0.114,0.11,0.012,0.207,0.147,0.365,0.157,0.223,0.166,0.397,0.136,0.086,0.11,0.106,0.022,0.087,0.11,0.082,0.021,0,0,0,0,Bridge
2018,0.873,0.799,1.31,0.509,0.187,0.137,0.307,0.151,0.096,0.118,0.113,0.012,0.193,0.14,0.324,0.15,0.217,0.17,0.361,0.153,0.092,0.128,0.107,0.022,0.088,0.106,0.098,0.021,0,0,0,0,Bridge
2019,0.815,0.743,1.207,0.474,0.172,0.129,0.279,0.131,0.091,0.108,0.11,0.016,0.176,0.13,0.291,0.123,0.203,0.164,0.322,0.15,0.092,0.119,0.107,0.033,0.081,0.093,0.098,0.021,0,0,0,0,Bridge
2020,0.789,0.748,1.129,0.395,0.164,0.127,0.26,0.106,0.086,0.103,0.106,0.012,0.167,0.129,0.268,0.098,0.203,0.175,0.298,0.136,0.095,0.127,0.115,0.022,0.074,0.087,0.082,0.021,0,0,0,0,Bridge
2021,0.766,0.719,1.086,0.411,0.155,0.119,0.24,0.105,0.083,0.096,0.107,0.012,0.155,0.12,0.241,0.093,0.192,0.163,0.281,0.158,0.104,0.128,0.135,0.022,0.077,0.093,0.082,0.021,0,0,0,0,Bridge
2022,0.718,0.684,1.008,0.378,0.143,0.111,0.221,0.098,0.08,0.094,0.102,0.012,0.144,0.114,0.221,0.085,0.174,0.148,0.25,0.14,0.112,0.138,0.148,0.022,0.065,0.079,0.066,0.021,0,0,0,0,Bridge
2023,0.701,0.687,0.963,0.349,0.138,0.108,0.211,0.099,0.079,0.096,0.096,0.008,0.14,0.113,0.208,0.084,0.169,0.146,0.24,0.136,0.11,0.138,0.142,0.022,0.065,0.086,0.066,0,0,0,0,0,Bridge
2000,0.647,0.632,1.219,0.536,0.178,0.178,0.286,0.128,0.053,0.053,0.176,0.033,0.12,0.104,0.22,0.13,0.164,0.194,0.203,0.111,0.11,0.054,0.172,0.134,0.022,0.049,0.162,0,0,0,0,0,Deck
2001,0.66,0.646,1.292,0.527,0.193,0.195,0.302,0.13,0.053,0.053,0.172,0.033,0.127,0.109,0.275,0.129,0.157,0.184,0.243,0.102,0.107,0.051,0.16,0.133,0.023,0.054,0.14,0,0,0,0,0,Deck
2002,0.731,0.766,1.309,0.525,0.21,0.217,0.305,0.129,0.057,0.061,0.185,0.033,0.151,0.143,0.286,0.128,0.172,0.209,0.251,0.102,0.108,0.054,0.156,0.133,0.033,0.082,0.126,0,0,0,0,0,Deck
2003,0.779,0.853,1.17,0.529,0.23,0.248,0.266,0.127,0.057,0.062,0.154,0.036,0.157,0.154,0.28,0.123,0.196,0.251,0.247,0.104,0.103,0.052,0.097,0.137,0.036,0.086,0.126,0.002,0,0,0,0,Deck
2004,0.789,0.898,1.208,0.488,0.221,0.238,0.268,0.118,0.059,0.067,0.158,0.035,0.161,0.161,0.284,0.116,0.202,0.273,0.267,0.084,0.102,0.052,0.107,0.133,0.044,0.107,0.124,0.002,0,0,0,0,Deck
2005,0.776,0.869,1.241,0.502,0.214,0.227,0.278,0.121,0.058,0.065,0.153,0.036,0.165,0.164,0.302,0.121,0.194,0.259,0.271,0.084,0.105,0.059,0.091,0.138,0.04,0.095,0.146,0.002,0,0,0,0,Deck
2006,0.782,0.871,1.174,0.502,0.218,0.232,0.277,0.121,0.058,0.065,0.148,0.036,0.177,0.18,0.304,0.121,0.191,0.253,0.266,0.084,0.1,0.046,0.093,0.138,0.038,0.095,0.086,0.002,0,0,0,0,Deck
2007,0.796,0.886,1.243,0.491,0.212,0.222,0.297,0.103,0.055,0.062,0.129,0.036,0.19,0.198,0.32,0.12,0.2,0.257,0.331,0.092,0.096,0.037,0.08,0.138,0.043,0.11,0.086,0.002,0,0,0,0,Deck
2008,0.858,0.853,1.259,0.865,0.215,0.215,0.308,0.157,0.044,0.061,0.114,0.015,0.203,0.178,0.345,0.234,0.305,0.26,0.339,0.399,0.052,0.037,0.067,0.06,0.039,0.102,0.086,0,0,0,0,0,Deck
