year,MPO- All,MPO- State,MPO- Local,MPO- Other,Value
2000,6174.5,4458.6,863.6,852.3,Deck
2001,6651.5,4884.1,903.4,864,Deck
2002,7264.1,5471.8,926.2,866.2,Deck
2003,7949.7,6280.9,805.3,863.6,Deck
2004,7718.7,6082.3,816.4,820,Deck
2005,7484.8,5805.9,838.2,840.7,Deck
2006,7590.9,5918.6,833.1,839.2,Deck
2007,7575.3,5780.7,963.2,738.9,Deck
2008,7405.6,5640.4,977.4,787.8,Deck
2009,7353,5784.1,1051.7,517.2,Deck
2010,6945.1,5409.2,1113.3,422.6,Deck
2011,6217.5,4672.4,951.5,593.7,Deck
2012,5334,3832.3,1067.6,434.2,Deck
2013,5854.5,3378,1019.2,1457.3,Deck
2014,4724.2,3298.1,1039.3,386.8,Deck
2015,4337.4,3051.7,995.5,290.2,Deck
2016,4311.8,3019.2,1005,287.7,Deck
2017,4020.6,2794,966.8,259.8,Deck
2018,3993.2,2632.9,1072.8,287.5,Deck
2019,3865.8,2587.3,1053.3,225.2,Deck
2020,3910.4,2738.3,992.2,179.8,Deck
2021,3834.2,2701,971,162.1,Deck
2022,3533.9,2553.1,818.4,162.3,Deck
2023,3016.3,2062.4,790.4,163.5,Deck
2000,705,381,261,63,Bridge
2001,740,402,275,63,Bridge
2002,795,450,280,65,Bridge
2003,802,463,270,69,Bridge
2004,821,477,273,71,Bridge
2005,833,471,289,73,Bridge
2006,827,474,282,71,Bridge
2007,847,482,295,65,Bridge
2008,865,495,308,62,Bridge
2009,905,498,348,59,Bridge
2010,899,490,355,54,Bridge
2011,892,469,358,65,Bridge
2012,844,416,374,54,Bridge
2013,818,383,379,56,Bridge
2014,795,369,374,52,Bridge
2015,771,360,361,50,Bridge
2016,771,365,357,49,Bridge
2017,720,347,329,44,Bridge
2018,694,335,317,42,Bridge
2019,648,313,296,39,Bridge
2020,618,307,280,31,Bridge
2021,594,288,276,30,Bridge
2022,554,271,255,28,Bridge
2023,538,267,243,28,Bridge
