year,northshore,waianae,centralOahu,ewa,puc,EastHonolulu,koolauloa,koolaupoko,Value
2017,18,13,12,11,13,10,19,0,Total
2018,16,15,17,20,20,11,16,0,Total
2019,10,16,11,18,20,19,20,0,Total
2020,19,11,19,19,18,12,12,0,Total
2021,14,14,16,20,16,17,18,0,Total
2022,12,17,16,16,12,11,16,0,Total
2023,18,17,14,18,11,10,13,0,Total
2017,6.8,7.2,8.8,9.2,9.2,7.6,10,0,Capita
2018,6.8,8.6,8,9.2,9.2,10,8,0,Capita
2019,6.2,7.2,7.6,6.6,6.8,7.8,8.8,0,Capita
2020,6,9.8,6.2,6.4,9.2,9.8,6.6,0,Capita
2021,6,6,8.6,7.2,6.8,8.4,9.2,0,Capita
2022,7.2,7.6,8.6,8,6.6,10,9.8,0,Capita
2023,7.6,6.8,6,6,9.8,8.4,8.2,0,Capita
